Sparse matrix update
Dimension	CoeffRef	Triplets	Transform	Pointers	Indices	
332	7.038498	37.788457	22.492783	28.853710	5.043623	8.291645	0.350251	0.338963	0.713585	0.212435	0.398660	0.182497	
336	7.330481	38.947528	23.310529	30.779204	5.282119	8.823437	0.355684	0.342255	0.723149	0.215111	0.402321	0.186253	
340	7.544183	40.440497	24.234559	30.787032	5.407080	8.878525	0.359313	0.345848	0.738551	0.216757	0.407372	0.190031	
344	7.705834	41.733386	24.919639	32.341313	5.617398	9.549752	0.362342	0.350929	0.739429	0.271892	0.434334	0.192543	
348	8.003204	43.346007	25.637129	33.025615	5.785306	9.552118	0.365748	0.355748	0.752409	0.222729	0.417549	0.194604	
352	9.028155	45.057072	26.805751	36.516051	6.473540	10.601321	0.370877	0.359059	0.756516	0.240676	0.422247	0.195771	
356	8.516688	46.331738	27.292478	35.077141	6.179126	10.155590	0.375868	0.361218	0.768041	0.227285	0.423869	0.196962	
360	8.708324	47.679250	28.216276	36.760291	6.403433	10.553426	0.380028	0.367228	0.772759	0.229832	0.430574	0.199458	
364	9.047426	49.434593	28.982745	37.446633	6.608709	10.789303	0.383470	0.369352	0.783258	0.233331	0.434829	0.201349	
368	9.407538	50.785116	29.918102	39.634912	6.902931	11.489172	0.388442	0.374908	0.795308	0.234978	0.416203	0.204501	
372	9.607838	52.633164	30.771407	39.771594	7.049408	11.555832	0.393268	0.378447	0.801322	0.254919	0.449293	0.204762	
376	9.790933	54.164996	31.837878	41.561256	7.283065	11.985152	0.394210	0.382970	0.804180	0.240156	0.449384	0.210195	
380	10.182417	56.241053	32.679433	42.387434	7.492376	12.272861	0.402235	0.386459	0.818529	0.260745	0.439260	0.209738	
384	11.987700	58.082064	34.023137	43.951305	8.136054	14.317591	0.406226	0.391143	0.826351	0.264998	0.459396	0.211456	
388	11.236801	59.883135	34.706879	44.854228	7.829645	13.104746	0.409130	0.393854	0.834665	0.248333	0.464341	0.215510	
392	11.422804	61.710799	35.776785	47.730925	8.124016	13.508616	0.413755	0.399828	0.837757	0.251372	0.467929	0.216956	
396	11.830480	63.692670	36.637944	47.578761	8.355788	13.771502	0.417210	0.404723	0.851814	0.252881	0.500418	0.218380	
400	12.352602	65.101202	37.816121	50.329417	8.701227	14.652588	0.424926	0.406714	0.857467	0.255710	0.478836	0.225646	
404	12.542919	68.384353	38.823328	50.368601	8.863446	14.742214	0.426454	0.411584	0.875949	0.258216	0.482936	0.228199	
