Sparse matrix update
Dimension	CoeffRef	Triplets	Transform	Pointers	Indices	
48	0.001497	0.001506	0.001492	0.001698	0.001375	
52	0.001776	0.001765	0.001768	0.001767	0.001492	
56	0.002061	0.002052	0.002065	0.002042	0.002342	
60	0.002637	0.002629	0.002865	0.002616	0.001668	
64	0.003769	0.003674	0.003614	0.003743	0.002088	
68	0.003968	0.004899	0.004045	0.004058	0.002386	
72	0.004638	0.004614	0.004673	0.004677	0.002153	
76	0.005010	0.006021	0.005009	0.004983	0.002103	
80	0.005806	0.006136	0.005794	0.005836	0.002198	
84	0.006370	0.006228	0.006267	0.006290	0.002354	
88	0.007155	0.007669	0.007094	0.008311	0.002466	
92	0.007131	0.007413	0.007126	0.007825	0.003186	
96	0.008474	0.008442	0.008378	0.008359	0.002693	
100	0.008580	0.008604	0.008578	0.008594	0.002711	
104	0.014408	0.013694	0.014765	0.013600	0.002959	
108	0.011804	0.011317	0.011389	0.012128	0.003066	
112	0.013277	0.012563	0.013226	0.012716	0.003034	
116	0.016136	0.016888	0.017769	0.016360	0.003154	
120	0.017993	0.018097	0.017604	0.018724	0.003224	
124	0.018406	0.019494	0.018257	0.020425	0.003584	
128	0.016473	0.015706	0.015721	0.015514	0.003667	
132	0.016263	0.017572	0.016089	0.016149	0.003838	
136	0.017778	0.017535	0.018558	0.017744	0.004061	
140	0.020092	0.017762	0.018705	0.018571	0.004118	
144	0.019515	0.019901	0.019691	0.023369	0.004168	
148	0.021006	0.020238	0.019981	0.020920	0.004920	
152	0.021568	0.021978	0.021775	0.022900	0.006318	
156	0.022644	0.023624	0.022166	0.023367	0.004761	
160	0.024022	0.024138	0.025293	0.025487	0.004841	
164	0.024621	0.025085	0.026108	0.024497	0.005135	
168	0.026419	0.027656	0.029013	0.027854	0.004899	
172	0.027521	0.026772	0.027260	0.028164	0.005364	
176	0.031619	0.029658	0.029156	0.029983	0.005268	
180	0.031181	0.030809	0.028776	0.030588	0.005564	
184	0.032750	0.032770	0.033958	0.031894	0.006187	
188	0.034482	0.032965	0.032344	0.032578	0.005798	
192	0.034929	0.034333	0.034618	0.034188	0.005651	
196	0.035294	0.036201	0.034202	0.034448	0.006181	
200	0.038150	0.038622	0.037636	0.037188	0.005964	
204	0.039648	0.038638	0.037459	0.037141	0.006016	
208	0.042380	0.040778	0.040697	0.040227	0.006316	
212	0.042018	0.041081	0.041103	0.041012	0.006750	
216	0.044670	0.045069	0.044445	0.043807	0.006453	
220	0.044434	0.042971	0.044401	0.043451	0.006540	
224	0.048902	0.048874	0.047066	0.046900	0.006787	
228	0.049483	0.046769	0.046634	0.047496	0.006872	
232	0.048242	0.051338	0.051292	0.050265	0.007092	
236	0.050451	0.050547	0.049318	0.049259	0.008137	
240	0.055824	0.054288	0.054756	0.054189	0.007273	
244	0.054607	0.054158	0.053342	0.052714	0.007272	
248	0.059874	0.058280	0.058506	0.058071	0.007465	
252	0.057073	0.056238	0.055939	0.056445	0.007524	
256	0.065409	0.063590	0.063377	0.062435	0.007679	
260	0.063399	0.060455	0.060853	0.060672	0.007885	
264	0.068031	0.065380	0.065292	0.066093	0.007950	
268	0.068165	0.065767	0.063571	0.064268	0.008338	
272	0.073776	0.071115	0.069307	0.069120	0.008431	
276	0.070601	0.067601	0.068110	0.067583	0.008137	
280	0.078504	0.073219	0.074691	0.072822	0.008423	
284	0.075990	0.071608	0.073125	0.071427	0.008524	
288	0.084294	0.077889	0.079525	0.077120	0.008635	
292	0.078762	0.075965	0.075756	0.075848	0.008795	
296	0.087603	0.083180	0.081983	0.082261	0.008915	
300	0.087966	0.081089	0.080056	0.078713	0.009107	
304	0.092011	0.085502	0.086976	0.085049	0.009163	
308	0.091934	0.084529	0.084142	0.083995	0.009252	
312	0.097053	0.093615	0.091252	0.090691	0.009340	
316	0.098567	0.088636	0.091357	0.089657	0.009332	
320	0.103214	0.097825	0.096162	0.094939	0.009730	
324	0.103872	0.093021	0.096233	0.094549	0.010053	
328	0.108948	0.101826	0.100773	0.099917	0.009700	
332	0.107684	0.100627	0.098006	0.096845	0.009830	
336	0.122567	0.108398	0.104830	0.106474	0.009955	
340	0.116531	0.104253	0.101943	0.102915	0.010179	
344	0.127076	0.112385	0.109705	0.110193	0.010545	
348	0.125049	0.109480	0.106704	0.107226	0.010408	
352	0.136622	0.117633	0.114740	0.115383	0.010528	
356	0.143225	0.115179	0.112083	0.111175	0.010877	
360	0.142716	0.128364	0.122500	0.120807	0.010582	
364	0.148867	0.118120	0.130354	0.119509	0.010654	
368	0.162502	0.131058	0.127009	0.126349	0.011017	
372	0.162383	0.125924	0.122514	0.122831	0.011049	
376	0.164469	0.146418	0.139827	0.136548	0.011104	
380	0.165246	0.135188	0.130590	0.129627	0.011232	
384	0.191419	0.148349	0.145461	0.143661	0.011518	
388	0.183757	0.142863	0.137302	0.137063	0.011675	
392	0.198442	0.155001	0.150878	0.150792	0.011717	
396	0.195079	0.173219	0.149725	0.146648	0.011845	
400	0.208009	0.163933	0.159161	0.157590	0.012245	
404	0.190395	0.159660	0.154447	0.153136	0.012186	

Matrix-matrix multiplication
Dimension	Dense (Threads: 1)	Dense (Threads: 2)	Dense (Threads: 3)	Dense (Threads: 4)	Sparse	
8	0.245818	0.001076	0.001104	0.001075	0.005137	
12	0.002469	0.002415	0.002422	0.002450	0.015109	
16	0.007890	0.007719	0.007052	0.007329	0.024179	
20	0.010894	0.007335	0.007183	0.007375	0.018428	
24	0.011739	0.012857	0.011947	0.011648	0.022706	
28	0.019176	0.019021	0.018966	0.020042	0.026328	
32	0.026884	0.028002	0.027119	0.026303	0.032311	
36	0.037380	0.037052	0.036391	0.037386	0.035150	
40	0.050049	0.049239	0.050253	0.049330	0.041528	
44	0.066600	0.064857	0.064558	0.065435	0.042968	
48	0.083721	0.058159	0.049662	0.050772	0.049972	
52	0.105095	0.065492	0.063831	0.065280	0.053825	
56	0.129875	0.073634	0.068358	0.064806	0.056261	
60	0.156751	0.093497	0.064527	0.078298	0.063189	
64	0.224827	0.107433	0.084561	0.065555	0.065643	
68	0.239870	0.128955	0.103888	0.083152	0.068777	
72	0.280602	0.144230	0.103023	0.106703	0.075481	
76	0.325284	0.172367	0.127739	0.132865	0.076664	
80	0.384219	0.190447	0.158384	0.112966	0.081396	
84	0.428257	0.227698	0.155732	0.141842	0.085352	
